Si,a,b,c,d
S1,9.80677404978672,1.070384048348621,0.0,0.0003447343916968531
S2,22.283695167759596,1.2001973696970183,0.01158677475001407,-0.0020220234333869895
S3,32.68829184440058,0.9042026551878691,-0.04392923964509445,0.0015345280641338528
S4,36.614248424269434,0.5584934605217373,-0.01839230034724478,-0.0025550019328172513
S5,38.731457312026485,-0.09912858233652035,-0.07334134907241271,0.013709372432334749
S6,38.98739415547208,0.8106399645563599,0.20687199180531177,-0.01589129997226762
S7,45.55866810975998,1.7049095416103197,-0.012755496007010945,-0.0034013355288715547
S8,53.1088049914051,1.3439890865523507,-0.06201239697867152,0.0020610861036865894
S9,61.36754313363468,0.7352757134230852,-0.009039101481098233,-0.0019204970939002916
S10,65.64111542624308,0.24385332202898902,-0.053972503918525705,0.0008663040421536746
S11,63.94505634430509,-0.5344335978978185,-0.02983842933486099,0.003632596019926561
S12,59.96275545934933,-0.41251235977010947,0.04710630189553408,-0.08663898768007139
S13,53.41153625771948,-4.2462400348102065,-0.999334707742064,0.527991761979006
S14,47.708346597058636,-4.329560337380623,0.9309632420292347,-0.05453861474318615
S15,44.09276118927866,0.7986725888512594,-0.16622995632055945,0.006823867128294822
S16,43.273381294964025,-0.5511187989213571,-8.446954532821682e-05,-0.0022425827977382677
S17,37.35436429617368,-1.022231859420557,-0.056298643597338036,0.0015598035344193079
S18,24.74851976825619,-1.656277784627239,-0.014232921187706454,0.00454736851152626
S19,14.687718851467498,-1.2716513837931955,0.07382201566672834,-0.0028384370082316607
S20,7.971286687464188,-0.6395165496899,0.008177119001528614,0.0007763377070710845
S21,3.4933469153880434,-0.3129578582588099,0.028764991784361756,-0.0004834592115902316
S22,2.7303113261603107,0.11059415467879632,0.01459843778037867,0.0018135965087093197
S23,5.393773476793786,0.6781860506532162,0.05745661344319139,-0.002187890547231206
